wreck_num,wreck_name,wdpa_gid,wdpa_name,wdpaid,wdpa_pid,pa_def,orig_name,desig,desig_eng,desig_type,iucn_cat,int_crit,marine,rep_m_area,gis_m_area,rep_area,gis_area,no_take,no_tk_area,status,status_yr,gov_type,own_type,mang_auth,mang_plan,verif,metadataid,sub_loc,parent_iso,iso3
737.0,Redbird Reef II,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
737.0,Redbird Reef II,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
738.0,Redbird Reef III,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
738.0,Redbird Reef III,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
738.0,Redbird Reef III,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
739.0,Redbird Reef IV,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
739.0,Redbird Reef IV,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
739.0,Redbird Reef IV,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
740.0,Redbird Reef V,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
740.0,Redbird Reef V,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
740.0,Redbird Reef V,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
741.0,Allan R.,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
741.0,Allan R.,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
741.0,Allan R.,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
742.0,Guido's Tug,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
742.0,Guido's Tug,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
742.0,Guido's Tug,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
743.0,Elizabeth,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
743.0,Elizabeth,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
743.0,Elizabeth,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
744.0,Miss Beth (Cape May Reef),164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
744.0,Miss Beth (Cape May Reef),164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
744.0,Miss Beth (Cape May Reef),164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
745.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
745.0,Stainless Steel Subway,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
745.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
746.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
746.0,Stainless Steel Subway,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
746.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
747.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
747.0,Stainless Steel Subway,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
747.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
748.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
748.0,Stainless Steel Subway,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
748.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
749.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
749.0,Stainless Steel Subway,164297,Southern Nearshore,555586982.0,555586982,1,Southern Nearshore,Trap/Pot Waters,Trap/Pot Waters,National,IV,Not Applicable,2,74209.4,74242.2023632944,74209.4,74242.2023632944,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DE;US-NJ;US-NY;US-VA,USA,USA
749.0,Stainless Steel Subway,164292,Mid-Atlantic Coastal Waters Area,555586979.0,555586979,1,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,Mid-Atlantic Coastal Waters Area,National,IV,Not Applicable,2,228299.0,228865.239551387,228708.0,228865.239551387,Not Reported,0.0,Designated,1997,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-NC;US-MD;US-N/A;US-DC;US-DE;US-NJ;US-NY;US-PA;US-VA,USA,USA
750.0,Stainless Steel Subway,164168,Waters off New Jersey,555586922.0,555586922,1,Waters off New Jersey,Closure,Closure,National,IV,Not Applicable,2,34763.3,34843.8674351287,34826.9,34843.8674351287,Not Reported,0.0,Designated,1999,Federal or national ministry or agency,State,National Oceanic and Atmospheric Administration,Non-MPA Programmatic Species Management Plan,State Verified,1848,US-DE;US-NJ;US-NY;US-PA;US-N/A,USA,USA
